"","age","gender","occupation","qqm","soc_1","soc_2","soc_3","soc_4","soc_5","soc_6","soc_7","soc_8","soc_9","soc_10","soc_11","soc_12","soc_13","soc_14","soc_15","soc_16","soc_17","soc_18","soc_19","soc_20","soc_21","soc_22","soc_23","soc_24","gbs_1","gbs_2","gbs_3","gbs_4","gbs_5","gbs_6","gbs_7","gbs_8","gbs_9","gbs_10","gbs_11","gbs_12"
"55",58,"female","employed","no",5,5,4,4,5,3,5,5,5,5,4,5,4,5,5,5,5,5,4,4,4,5,4,4,4,1,5,5,5,5,1,1,1,1,1,2
"56",22,"male","part-time","no",4,4,3,4,4,3,5,4,4,4,4,4,4,3,4,4,4,1,4,4,5,1,1,4,4,4,3,5,4,4,3,5,2,3,2,4
"57",30,"male","employed","no",2,2,2,4,4,4,2,4,4,4,4,4,4,4,4,4,2,4,2,2,2,4,2,4,4,4,4,3,4,4,3,2,2,2,3,2
"58",20,"male","part-time","no",2,3,2,2,3,2,4,4,2,2,3,2,4,4,2,3,2,4,2,2,4,2,2,2,3,3,2,2,3,3,4,4,4,4,4,4
"59",19,"female","current student","no",2,4,4,5,4,3,2,2,4,5,4,4,4,3,4,4,4,4,4,4,3,4,4,4,3,4,4,3,4,4,3,3,2,4,2,4
"60",20,"female","part-time","no",3,4,5,5,4,5,5,4,5,5,5,5,4,5,5,5,5,5,3,5,5,5,4,5,4,5,4,4,4,4,3,2,3,1,2,2
"61",19,"female","current student","no",3,2,2,3,4,4,4,5,4,5,4,4,4,3,3,4,4,5,2,3,4,3,3,4,4,5,3,4,4,4,3,2,1,1,2,2
"62",53,"female","employed","no",4,4,4,4,4,4,5,4,5,5,5,4,5,5,5,4,5,5,2,5,4,4,4,4,5,5,4,4,5,4,1,1,1,1,1,1
"63",21,"female","current student","no",4,4,3,4,4,4,4,4,5,5,4,4,4,5,4,5,5,5,3,4,3,4,4,4,4,5,4,4,4,4,2,2,1,2,3,2
"64",20,"female","current student","no",5,5,5,5,5,3,5,5,5,3,4,5,5,4,5,5,5,5,4,5,5,5,4,5,4,5,4,5,4,4,2,2,2,1,2,1
"65",53,"female","retired","no",4,5,4,3,4,4,3,5,4,5,4,5,4,4,4,4,4,4,4,4,4,5,3,5,4,5,3,4,4,4,2,1,2,2,3,1
"66",20,"female","current student","no",2,5,4,4,4,4,4,5,4,4,5,4,4,4,4,5,4,4,4,4,3,4,2,5,3,4,4,4,4,4,4,2,3,2,4,2
"67",20,"male","current student","no",4,5,4,4,5,5,5,4,5,4,5,5,5,4,4,5,5,5,5,5,3,5,4,4,4,5,4,4,4,5,2,2,2,2,2,1
"68",20,"male","current student","no",1,4,5,4,3,4,3,2,4,5,4,4,3,3,3,5,4,4,2,4,4,2,2,4,4,5,4,4,4,4,4,3,1,3,3,2
"69",19,"female","current student","no",1,2,2,1,2,3,2,4,2,4,4,3,2,3,3,4,2,3,2,2,2,2,2,4,2,4,2,2,4,3,4,4,3,5,2,4
"70",57,"female","part-time","no",4,4,4,2,4,5,4,2,4,4,5,4,4,5,4,3,5,4,5,5,4,4,2,4,4,4,4,4,4,4,1,1,2,2,1,2
"71",20,"female","current student","no",5,5,4,4,5,4,5,5,5,5,5,5,4,4,4,4,5,5,5,5,5,4,5,5,5,5,4,4,4,5,1,1,1,1,1,1
"72",48,"female","employed","no",4,3,5,2,4,4,4,3,5,5,5,3,4,5,4,4,5,5,3,3,5,4,5,5,5,1,5,5,5,4,1,2,1,1,1,1
"73",19,"female","current student","no",2,3,3,3,3,4,3,5,4,5,4,4,3,5,4,4,4,5,4,4,5,4,4,4,4,3,3,4,4,3,1,2,4,3,3,3
"74",21,"female","unemployed","no",2,2,1,2,4,2,2,4,3,4,4,3,4,4,4,4,2,4,2,2,2,4,2,3,3,4,3,1,4,3,4,3,2,4,3,1
"75",20,"male","current student","no",3,4,4,2,3,4,3,2,4,4,4,4,4,4,3,2,2,4,2,4,4,4,3,4,3,4,4,4,4,4,3,2,3,3,2,4
"76",19,"female","employed","no",1,4,4,4,2,2,4,5,4,4,5,4,4,1,4,4,2,4,2,4,2,2,4,4,4,5,4,4,4,4,2,1,1,2,2,1
"77",20,"female","current student","no",3,5,5,4,5,5,4,2,4,3,3,5,4,4,4,5,5,5,4,5,5,3,3,5,4,5,3,4,4,4,3,2,2,2,2,2
"78",20,"female","current student","yes",4,5,4,4,5,4,5,3,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,4,5,5,4,4,3,5,3,3,3,3,3,3
"79",26,"male","employed","no",2,5,5,5,5,5,5,5,5,5,4,5,5,3,3,5,5,4,3,4,5,2,4,5,3,5,3,3,3,4,3,3,1,1,3,4
"80",19,"female","current student","no",4,2,4,4,5,4,4,4,4,4,3,3,4,4,3,3,4,4,3,4,4,4,4,5,3,4,3,4,4,3,2,3,2,2,2,2
"81",20,"female","current student","no",4,4,4,4,5,4,4,4,4,4,4,4,4,4,4,4,3,4,3,4,4,4,4,4,4,4,4,4,4,4,2,3,1,2,2,2
"82",20,"female","current student","no",3,4,4,3,4,4,3,3,4,4,4,5,5,4,4,4,3,5,3,3,3,3,2,3,4,4,4,4,5,5,2,2,2,2,2,2
"83",20,"female","current student","no",4,2,4,2,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,2,2,3,3,2
"84",20,"female","current student","no",2,3,2,3,2,4,3,2,5,5,3,4,3,4,4,5,4,5,4,4,2,4,2,4,2,4,3,2,2,4,4,1,1,2,3,3
"85",20,"female","current student","no",3,4,4,4,4,4,4,2,4,4,4,4,4,4,3,3,4,4,4,3,4,4,4,2,4,4,4,4,4,4,2,2,2,2,2,1
"86",19,"male","current student","no",4,4,4,4,5,5,4,4,4,5,5,4,4,5,3,4,5,4,4,4,4,5,5,4,4,4,4,4,4,4,2,3,2,3,2,3
"87",19,"other","current student","no",5,4,4,5,2,3,5,4,4,5,5,5,5,5,4,5,5,5,4,4,4,4,2,4,4,5,5,4,4,5,2,1,1,1,2,2
"88",20,"female","current student","no",3,5,4,4,5,5,4,4,5,5,5,4,5,5,4,4,5,5,5,4,4,5,5,5,4,4,4,4,4,3,2,3,3,3,2,2
"89",49,"female","employed","no",3,4,4,4,3,4,3,3,4,5,4,4,3,4,4,4,5,4,5,4,4,4,5,5,3,4,4,4,4,4,2,2,2,2,2,4
"90",24,"male","employed","no",1,1,1,2,2,4,2,4,3,4,4,1,3,1,2,2,2,4,1,2,2,4,1,4,2,2,4,2,4,2,4,4,5,5,4,2
"91",20,"female","current student","no",5,5,5,5,5,5,5,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,4,4,5,4,5,4,2,4,3,2,2,2
"92",19,"female","current student","no",4,4,4,5,5,5,4,4,4,4,5,4,4,5,5,4,4,5,4,4,4,4,5,5,4,4,4,4,4,4,2,2,2,1,2,2
"93",20,"male","employed","no",4,3,4,3,4,5,4,4,3,4,4,3,4,3,3,4,3,5,3,3,3,2,4,2,4,4,2,2,4,3,5,3,2,4,2,3
"94",20,"female","current student","no",4,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,4,5,4,5,4,5,4,5,5,5,4,4,5,4,1,1,2,2,2,1
"95",21,"female","employed","no",2,4,4,4,5,2,4,5,4,5,5,4,5,5,5,5,5,5,2,5,4,3,5,5,5,5,4,4,5,4,1,1,1,1,1,1
"96",53,"male","employed","no",3,4,4,2,4,4,3,5,3,4,4,5,4,3,5,5,4,4,5,5,4,4,4,5,5,4,4,5,5,4,1,1,1,1,1,1
"97",22,"male","current student","no",4,3,3,5,3,4,4,5,4,5,4,5,3,4,5,5,4,4,3,4,3,4,3,5,4,4,3,4,5,4,2,2,2,3,1,2
"98",20,"female","unemployed","no",1,4,2,3,2,2,3,2,3,4,4,4,3,3,3,4,5,4,5,3,4,4,2,4,3,3,2,2,4,2,5,4,3,4,4,3
"99",57,"female","part-time","no",3,3,3,3,3,4,3,2,3,4,4,3,3,3,4,3,4,4,3,3,3,4,3,4,4,4,4,3,4,3,3,3,2,3,2,3
"100",21,"male","current student","no",2,4,4,4,4,4,3,3,4,3,5,4,4,4,4,4,4,4,4,3,2,3,2,4,3,4,3,4,4,4,2,2,2,3,4,2
"101",20,"male","employed","no",5,5,4,4,4,4,5,3,5,3,5,5,4,5,5,4,5,5,5,5,5,5,5,5,4,4,4,4,4,5,2,1,3,1,1,3
"102",42,"female","employed","no",4,4,4,2,4,4,4,4,4,4,4,5,4,4,4,4,4,4,2,4,4,4,4,4,4,4,4,4,4,2,2,1,2,2,2,1
"103",19,"female","current student","no",3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,2,2,2,2,2,2
"104",21,"male","employed","no",4,4,4,5,4,4,4,4,4,5,5,4,5,4,4,3,4,4,3,4,4,5,4,5,4,4,4,3,4,4,3,2,2,2,2,2
"105",19,"female","current student","no",2,3,3,4,4,4,4,3,4,4,4,3,4,4,4,4,3,5,2,4,2,4,4,4,4,4,4,4,4,4,2,2,3,3,2,2
"106",83,"female","retired","no",4,4,4,3,4,3,4,4,4,4,5,4,4,4,5,4,4,4,4,4,3,4,5,4,4,4,5,5,4,4,2,2,1,2,2,2
"107",50,"female","employed","no",2,3,4,4,3,3,3,5,5,5,4,4,3,4,4,5,4,4,3,4,3,4,4,5,4,5,5,5,5,4,2,2,1,1,2,1
"108",NA,"female","current student","no",2,5,5,5,5,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,4,4,5,5,5,5,5,5,5,1,1,1,1,2,1
"109",58,"male","employed","no",2,2,1,2,2,2,2,2,2,1,1,3,2,4,2,2,3,4,2,2,2,2,2,4,2,2,1,1,1,1,5,5,5,4,4,4
"110",NA,"female","current student","no",2,4,3,4,2,3,4,5,4,4,3,3,2,5,5,2,5,4,2,3,3,4,5,4,2,4,3,3,3,4,4,3,2,2,4,2
"111",59,"male","employed","no",2,4,4,4,3,3,3,5,5,5,5,4,4,4,4,5,3,4,3,4,2,4,4,4,4,4,5,4,4,4,1,1,1,2,1,2
"112",19,"female","part-time","no",1,2,2,2,4,2,2,4,4,4,4,3,3,4,3,4,3,3,2,2,2,2,4,4,3,3,3,3,3,2,4,3,3,3,3,2
"113",19,"female","current student","no",1,3,3,3,3,3,2,2,4,4,5,4,4,5,4,5,2,3,2,2,2,2,1,4,3,3,3,3,4,3,3,2,4,3,4,3
"114",57,"female","retired","no",3,4,4,4,4,4,3,3,4,5,4,4,4,4,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,2,2,2,2,2
"115",22,"female","current student","no",2,2,2,2,2,2,2,2,2,4,4,3,4,4,4,4,3,4,4,2,4,4,2,4,3,3,3,2,3,3,4,2,4,4,4,3
"116",19,"female","current student","no",4,5,5,4,5,5,4,2,4,4,5,4,4,5,4,4,4,5,4,4,4,4,4,4,4,4,4,4,4,4,2,1,2,2,2,1
"117",19,"female","current student","no",2,2,1,2,2,2,2,4,2,3,4,3,2,4,3,2,4,4,2,2,2,4,1,4,3,3,3,3,3,3,4,3,4,4,4,3
"118",19,"prefer not to say","current student","no",4,4,3,4,4,3,4,4,4,4,4,4,4,3,4,4,4,4,4,5,4,5,5,5,3,4,3,4,3,4,4,2,3,4,3,4
"119",55,"female","employed","no",3,4,4,4,4,4,4,4,4,4,5,4,4,5,4,4,4,5,3,5,3,5,2,4,4,4,4,4,4,4,1,2,1,1,1,1
"120",27,"female","current student","no",4,4,3,3,4,4,4,4,4,1,4,1,4,4,4,4,4,1,1,4,1,4,4,1,4,4,4,4,4,4,2,2,2,3,2,2
"121",20,"male","employed","no",1,4,5,2,5,2,3,5,5,5,4,5,4,3,4,4,3,4,2,4,2,4,4,4,3,4,3,2,3,3,4,3,4,3,4,4
"122",23,"female","employed","no",2,2,4,2,4,4,4,2,2,5,5,4,4,4,4,4,4,4,4,3,3,4,5,4,4,4,4,4,4,4,4,2,2,2,2,2
"123",21,"female","current student","no",4,5,5,5,4,4,5,2,5,5,4,5,5,5,3,5,4,5,4,4,5,3,2,5,4,5,4,5,4,5,2,2,2,2,2,2
"124",22,"male","employed","no",2,3,1,4,2,4,2,4,4,4,5,4,2,4,3,5,4,4,4,4,3,4,2,5,4,5,5,3,4,4,3,1,3,2,3,2
"125",55,"female","part-time","no",2,4,4,2,2,3,3,4,4,4,4,4,3,4,3,4,3,3,4,4,3,4,4,3,4,4,4,4,4,4,2,2,2,2,3,2
"126",43,"female","employed","no",1,3,2,4,3,3,4,3,2,4,4,4,4,4,3,5,2,4,2,4,2,2,5,4,3,4,4,4,4,4,3,3,4,3,3,3
"127",52,"female","employed","no",3,5,5,5,5,4,1,2,5,5,4,4,4,5,5,5,4,5,5,4,1,4,2,3,5,5,4,4,5,4,2,2,2,2,2,1
"128",50,"female","employed","no",2,4,4,3,4,2,3,5,4,4,5,4,4,4,5,5,3,2,3,4,3,3,3,5,4,4,3,4,3,4,2,3,2,3,2,2
"129",19,"female","current student","no",3,3,3,4,3,5,4,4,5,4,4,4,2,4,4,4,4,4,4,2,5,4,4,4,4,4,4,4,4,3,2,2,2,2,2,2
"130",24,"male","current student","no",4,4,4,4,4,4,4,3,5,4,4,4,4,4,4,4,5,4,4,4,4,4,4,4,4,5,4,4,4,4,2,1,2,2,2,3
"131",24,"male","current student","no",1,2,3,4,4,2,1,4,2,4,2,2,3,2,3,3,2,4,4,2,3,3,4,4,3,4,2,3,3,4,4,2,3,2,2,2
"132",62,"female","retired","no",4,4,3,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,3,3,4,3,2,5,4,5,4,4,4,5,1,2,3,1,2,1
"133",25,"female","employed","no",2,4,4,4,4,4,4,4,4,4,4,4,4,4,5,4,4,4,4,4,3,4,5,4,4,4,3,4,3,3,4,4,2,2,2,4
"134",28,"female","employed","no",2,3,4,3,4,3,3,4,4,4,4,4,4,4,4,5,4,4,2,4,3,3,5,5,4,4,2,4,3,3,3,4,1,3,2,2
"135",57,"male","retired","no",2,4,5,5,5,2,2,5,5,5,4,5,5,4,3,5,4,5,2,5,2,2,4,4,3,5,4,5,5,5,1,1,1,2,1,1
"136",20,"female","employed","no",3,3,4,2,4,2,4,4,5,5,5,4,4,5,4,5,4,5,2,4,4,4,4,5,2,4,4,4,4,4,2,4,3,3,3,4
"137",76,"female","retired","no",2,2,4,3,4,4,5,2,5,5,5,2,3,4,2,5,2,2,4,2,2,2,1,2,4,5,4,2,4,2,3,2,2,2,2,1
"138",24,"male","current student","no",3,4,4,3,4,3,4,2,4,4,5,4,5,5,4,3,3,5,2,4,2,4,4,3,4,4,4,4,4,4,4,1,1,1,2,1
"139",30,"male","employed","no",4,5,4,4,5,4,5,5,4,5,5,5,4,5,4,5,3,5,3,5,3,4,4,5,5,5,5,4,4,4,1,1,1,1,1,1
"140",52,"female","part-time","no",4,5,4,4,5,5,5,1,4,5,5,5,5,5,4,5,5,5,5,2,4,4,4,2,4,2,5,5,5,5,1,1,2,1,1,2
"141",56,"male","employed","no",2,3,5,4,3,4,3,5,4,3,5,4,3,3,5,4,3,4,3,5,2,3,4,4,4,4,4,4,4,4,1,1,1,2,2,2
"142",44,"female","employed","no",3,5,3,5,4,4,4,3,4,5,5,4,4,5,4,5,4,5,4,4,4,4,4,5,5,5,5,5,5,4,1,1,1,1,1,1
"143",20,"female","part-time","no",5,4,4,5,4,4,5,5,4,5,4,4,4,4,2,2,5,5,4,4,4,5,5,5,4,5,4,4,4,4,2,2,2,2,2,2
"144",45,"female","employed","no",5,3,4,4,4,4,5,5,4,5,4,4,4,4,4,5,5,5,5,4,5,4,4,5,4,5,4,4,4,4,4,2,2,3,4,2
"145",27,"female","employed","no",5,5,4,4,5,5,5,5,5,5,5,5,4,5,5,5,5,5,4,5,4,5,4,5,5,5,5,5,5,5,1,1,2,1,1,1
"146",46,"female","employed","no",2,3,4,4,4,4,3,5,3,5,4,4,3,4,4,5,4,4,3,4,2,3,3,4,3,4,3,4,4,3,3,3,3,2,3,4
"147",38,"female","employed","no",2,2,3,3,2,3,3,3,3,4,4,3,4,4,4,4,4,4,4,2,3,3,4,4,4,4,4,3,4,3,3,3,4,2,2,3
"148",55,"male","employed","no",2,5,4,5,4,2,4,5,4,4,4,3,2,3,4,5,4,4,2,2,2,4,4,4,2,4,4,4,4,4,4,2,2,2,4,2
"149",21,"female","current student","no",2,2,2,2,2,2,2,4,4,4,3,4,2,4,4,3,4,4,3,3,3,3,3,4,3,4,3,3,4,4,4,2,3,4,3,2
"150",42,"female","employed","no",4,5,5,5,4,4,4,5,5,5,4,4,5,5,5,5,5,5,5,5,5,4,4,5,4,5,5,5,4,4,4,2,2,3,3,3
"151",33,"female","part-time","no",4,5,5,5,5,4,5,5,5,5,4,5,4,5,3,5,4,4,4,4,3,4,3,5,4,4,4,5,4,4,1,2,1,1,3,1
"152",33,"male","employed","no",4,4,4,4,4,4,4,5,4,4,5,5,5,4,4,5,4,4,3,4,3,3,4,5,4,5,4,4,3,4,2,1,1,2,1,1
"153",21,"female","part-time","no",2,4,4,4,3,5,2,4,4,4,3,3,3,4,4,4,4,4,4,4,4,4,4,4,3,3,4,3,3,3,2,2,2,2,3,2
"154",23,"female","part-time","no",4,2,4,5,4,4,4,5,4,4,4,4,3,3,3,5,4,4,4,4,4,4,4,4,4,4,4,3,3,4,4,2,2,4,3,2
"155",18,"female","current student","no",3,4,4,4,4,4,4,4,4,5,5,4,4,4,4,4,4,5,4,4,4,4,2,4,3,5,4,4,4,4,2,2,2,2,3,2
"156",41,"female","part-time","no",2,2,1,3,2,1,3,4,3,5,4,4,2,3,3,4,2,3,2,3,1,2,3,4,3,4,2,4,4,3,4,3,3,4,3,2
"157",20,"female","current student","no",4,4,4,5,5,5,5,4,4,5,4,4,4,4,5,5,5,4,2,4,4,4,2,5,3,4,3,4,4,4,3,5,3,3,2,3
"158",35,"female","unemployed","no",1,3,3,2,2,1,4,2,4,5,4,3,4,3,3,4,4,4,4,4,4,1,1,2,3,3,3,3,3,2,4,2,4,4,3,2
"159",22,"female","employed","no",1,4,4,4,2,2,1,4,4,4,4,4,2,2,4,4,2,4,2,4,1,4,4,4,2,4,3,2,2,2,4,4,4,2,4,2
